tile,price,link_item,discount_percent,countReviews
Điện thoại Samsung Galaxy A04 3GB/32GB,2.690.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a04-3gb32gb-i2183040443.html,10%off,Hồ Chí Minh
Điện thoại Samsung Galaxy A14 5G 4GB/128GB,4.790.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a14-5g-4gb128gb-i2182148878.html,8%off,Hồ Chí Minh
"Điện thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng, Mới 100%, Nguyên seal",24.080.364 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-hang-chinh-hang-moi-100-nguyen-seal-i2180732001.html,25%off,Hồ Chí Minh
"[ CAM KẾT GIÁ TỐT ] Điện Thoại Oppo Reno8 T 5G - Hàng Chính Hãng, Mới 100%, Bảo Hành 12 Tháng",8.990.000 ₫,https://www.lazada.vn/products/cam-ket-gia-tot-dien-thoai-oppo-reno8-t-5g-hang-chinh-hang-moi-100-bao-hanh-12-thang-i2180667959.html,10%off,Hồ Chí Minh
Điện thoại POCO C40 mới 97%,2.500.000 ₫,https://www.lazada.vn/products/dien-thoai-poco-c40-moi-97-i2180014019.html,,Hồ Chí Minh
"điện thoại Samsung Galaxy A50s Chính Hãng 2sim ram 4G/64G, Màn hình: Super AMOLED6.4""Full HD+ , Cày Tiktok Zalo FB Youtube, chơi Liên Quân-Free Fire-PUBG mượt mà",1.199.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a50s-chinh-hang-2sim-ram-4g64g-man-hinh-super-amoled64full-hd-cay-tiktok-zalo-fb-youtube-choi-lien-quan-free-fire-pubg-muot-ma-i2179850016.html,37%off,"32 Đã bán
(15)
Hồ Chí Minh"
"[HCM]Thoại LG V50 ThinQ hỗ trợ 5G Ram 6G/128G - 3 camera sau Cấu hình khủng - máy Chính Hảng / Màn hình: AMOLED 6.4"" Quad HD+ (2K+) smartphone thông minh / điện thoại giá rẻ bao đổi tận nhà",2.149.000 ₫,https://www.lazada.vn/products/hcmthoai-lg-v50-thinq-ho-tro-5g-ram-6g128g-3-camera-sau-cau-hinh-khung-may-chinh-hang-man-hinh-amoled-64-quad-hd-2k-smartphone-thong-minh-dien-thoai-gia-re-bao-doi-tan-nha-i2179839582.html,45%off,"45 Đã bán
(15)
Hồ Chí Minh"
"[ RẺ VÔ ĐỊCH ] điện thoại Samsung Galaxy A7 2018 - Samsung A750 2sim ram 4G/64G Chính Hãng, Màn hình: Super AMOLED, 6.0"", Full HD+, cấu hình siêu khủng long, đánh mọi Game PUBG/Liên Quân/Free Fire siêu mượt",999.000 ₫,https://www.lazada.vn/products/re-vo-dich-dien-thoai-samsung-galaxy-a7-2018-samsung-a750-2sim-ram-4g64g-chinh-hang-man-hinh-super-amoled-60-full-hd-cau-hinh-sieu-khung-long-danh-moi-game-pubglien-quanfree-fire-sieu-muot-i2179807258.html,44%off,"44 Đã bán
(15)
Hồ Chí Minh"
"điện thoại LG G6 ram 4G rom 64G Chính Hãng, Camera sau: Chính 13 MP & Phụ 13 MP, Chip: Snapdragon 821, Cày PUBG/Liên Quân siêu mượt",1.499.000 ₫,https://www.lazada.vn/products/dien-thoai-lg-g6-ram-4g-rom-64g-chinh-hang-camera-sau-chinh-13-mp-phu-13-mp-chip-snapdragon-821-cay-pubglien-quan-sieu-muot-i2179797721.html,21%off,"33 Đã bán
(15)
Hồ Chí Minh"
[HCM][Trả góp 0%][BÁN LẺ = GIÁ SỈ] LG V40 ThinQ ram 6G bộ nhớ 128G CHÍNH HÃNG - chơi siêu game mượt,1.349.000 ₫,https://www.lazada.vn/products/hcmtra-gop-0ban-le-gia-si-lg-v40-thinq-ram-6g-bo-nho-128g-chinh-hang-choi-sieu-game-muot-i2179791822.html,48%off,"44 Đã bán
(15)
Hồ Chí Minh"
"Điện thoại Realme Narzo 50i Prime 3GB/32GB Hàng Chính Hãng, Mới 100%",2.220.000 ₫,https://www.lazada.vn/products/dien-thoai-realme-narzo-50i-prime-3gb32gb-hang-chinh-hang-moi-100-i2179790813.html,20%off,Hồ Chí Minh
"Điện thoại Realme Narzo 50i Prime 4GB/64GB Hàng Chính Hãng, Mới 100%",2.490.000 ₫,https://www.lazada.vn/products/dien-thoai-realme-narzo-50i-prime-4gb64gb-hang-chinh-hang-moi-100-i2179778932.html,24%off,Hồ Chí Minh
"[ GIẢM GIÁ SẬP SÀN ] điện thoại Realme 5 Pro 2sim Chính Hãng ram 8G rom 256G, Màn hình: IPS LCD, 6.3"", Full HD+, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt",1.099.000 ₫,https://www.lazada.vn/products/giam-gia-sap-san-dien-thoai-realme-5-pro-2sim-chinh-hang-ram-8g-rom-256g-man-hinh-ips-lcd-63-full-hd-cau-hinh-chip-cao-manh-me-cay-lien-quan-pubg-free-fire-tiktok-sieu-muot-i2179759390.html,42%off,"32 Đã bán
(15)
Hồ Chí Minh"
"điện thoại Oppo Reno Z - Oppo RenoZ Chính Hãng 2sim ram 8G rom 256G, Màn hình: AMOLED6.4""Full HD+, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",799.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-reno-z-oppo-renoz-chinh-hang-2sim-ram-8g-rom-256g-man-hinh-amoled64full-hd-cau-hinh-manh-dinh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2179720102.html,47%off,"32 Đã bán
(15)
Hồ Chí Minh"
"điện thoại Chính Hãng VivoS1 - Vivo S 1 máy 2sim ram 8G/512G, lướt Tiktok Zalo FB Youtube, chơi Liên Quân-Free Fire-PUBG mượt mà",999.000 ₫,https://www.lazada.vn/products/dien-thoai-chinh-hang-vivos1-vivo-s-1-may-2sim-ram-8g512g-luot-tiktok-zalo-fb-youtube-choi-lien-quan-free-fire-pubg-muot-ma-i2179663194.html,47%off,"31 Đã bán
(15)
Hồ Chí Minh"
"điện thoại Oppo Reno2 Z - Oppo Reno 2Z Chính Hãng 2sim ram 8G rom 256G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",1.499.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-reno2-z-oppo-reno-2z-chinh-hang-2sim-ram-8g-rom-256g-cau-hinh-manh-dinh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2179634673.html,48%off,"39 Đã bán
(15)
Hồ Chí Minh"
"SALE SỐC SỐC điện thoại Oppo Reno4 Z 5G Chính Hãng 2sim ram 8G/128G, cấu hình CPU siêu Cao Cấp, đánh mọi Game nặng chất",1.498.000 ₫,https://www.lazada.vn/products/sale-soc-soc-dien-thoai-oppo-reno4-z-5g-chinh-hang-2sim-ram-8g128g-cau-hinh-cpu-sieu-cao-cap-danh-moi-game-nang-chat-i2179605680.html,48%off,"32 Đã bán
(15)
Hồ Chí Minh"
